cluster_0_gene_name	cluster_0_score	cluster_0_pval	cluster_0_pval_adj	cluster_0_log2foldchange	cluster_1_gene_name	cluster_1_score	cluster_1_pval	cluster_1_pval_adj	cluster_1_log2foldchange	cluster_2_gene_name	cluster_2_score	cluster_2_pval	cluster_2_pval_adj	cluster_2_log2foldchange	cluster_3_gene_name	cluster_3_score	cluster_3_pval	cluster_3_pval_adj	cluster_3_log2foldchange	cluster_4_gene_name	cluster_4_score	cluster_4_pval	cluster_4_pval_adj	cluster_4_log2foldchange	cluster_5_gene_name	cluster_5_score	cluster_5_pval	cluster_5_pval_adj	cluster_5_log2foldchange	cluster_6_gene_name	cluster_6_score	cluster_6_pval	cluster_6_pval_adj	cluster_6_log2foldchange	cluster_7_gene_name	cluster_7_score	cluster_7_pval	cluster_7_pval_adj	cluster_7_log2foldchange	cluster_8_gene_name	cluster_8_score	cluster_8_pval	cluster_8_pval_adj	cluster_8_log2foldchange	cluster_9_gene_name	cluster_9_score	cluster_9_pval	cluster_9_pval_adj	cluster_9_log2foldchange
aldob	68.92398	0.0	0.0	1.0159713	im:7138239	65.29413	0.0	0.0	2.8014245	si:ch211-246m6.4	43.944263	0.0	0.0	3.053215	marcksl1b	23.975054	5.064118206715423e-127	3.1734296742382196e-123	0.4313148	xbp1	42.32991	0.0	0.0	3.3253634	LOC110439627	43.633396	0.0	0.0	6.9275355	sox32	36.406494	3.360286852275968e-290	8.42289502391494e-286	5.6955576	cldne	29.96889	2.496808637642931e-197	6.175581211531881e-193	8.96312	plekhg5b	6.5845156	4.563712190601491e-11	6.213676542333865e-07	5.613798	nanos3	6.7044287	2.0219591219021424e-11	1.0192497022710342e-07	12.160448
si:ch211-222l21.1	63.390144	0.0	0.0	0.6088298	tbx16	59.86318	0.0	0.0	1.7480121	mt-rnr2	42.473663	0.0	0.0	2.422381	h2afvb	23.40584	3.726714125536475e-121	1.8682763254139456e-117	0.400257	chd	38.700127	0.0	0.0	3.8296466	LOC110439626	41.823063	0.0	0.0	8.114172	cxcr4a	34.702965	7.107156776274188e-264	8.90739958770444e-260	3.328927	zgc:153665	29.939508	6.026223638977059e-197	6.175581211531881e-193	8.713403	tmem106ba	6.572196	4.957852503258489e-11	6.213676542333865e-07	5.9584804	ddx4	6.7043047	2.0236740952017846e-11	1.0192497022710342e-07	5.7447157
id1	60.360252	0.0	0.0	1.3326187	rbm38	58.065716	0.0	0.0	2.7053647	rps11	42.04824	0.0	0.0	1.4336792	h3f3a	23.05986	1.1712922436134189e-117	4.893268563068993e-114	0.4645589	kirrel3l	35.7255	1.589092729336825e-279	1.327739945118562e-275	3.4955518	mt-rnr1	39.376633	0.0	0.0	3.6127186	cdh6	33.298183	4.102127868144968e-243	3.4274645714307254e-239	4.7507334	lye	29.932695	7.391184726161192e-197	6.175581211531881e-193	7.8291836	f11r.1	6.3584323	2.0382308723156575e-10	1.45304242131694e-06	4.12318	dnd1	6.704119	2.0262492258120434e-11	1.0192497022710342e-07	11.921177
sox19a_1	58.61802	0.0	0.0	1.6110839	msgn1	56.274567	0.0	0.0	2.6592736	rpl17	40.370743	0.0	0.0	1.0198282	cbx3a	22.872404	8.747941805661789e-116	3.132512990010263e-112	0.50717896	foxa3	35.593204	1.7845911913748362e-277	1.118314070075041e-273	3.9158194	zgc:158463	35.715065	2.3076147179815257e-279	6.426963391213881e-276	2.3288734	flrt3	32.65868	6.033667464826443e-234	3.78099771683349e-230	3.7313857	pfn1	29.916094	1.21538791082939e-196	7.616228343212372e-193	4.934158	sox32	6.2811728	3.3602825013075015e-10	1.45304242131694e-06	5.0872827	ca15b	6.7038717	2.0296877245989992e-11	1.0192497022710342e-07	10.8425455
si:ch73-1a9.3	58.20194	0.0	0.0	0.5409789	snai1a	54.64354	0.0	0.0	1.9028131	rpl18a	39.808445	0.0	0.0	1.3097299	LOC110439626	22.46544	9.040879275449218e-112	2.517985332426779e-108	-3.6627865	nog1	34.65702	3.501757878977658e-263	1.7555012598890797e-259	4.6621175	mt-rnr2	33.823048	9.041168899394171e-251	1.4164121227013392e-247	1.9657214	foxa2	29.664639	2.1960868297777493e-193	1.1009422495041814e-189	3.8646045	hsd17b12a	29.81664	2.3776327356099333e-195	1.1919548430159718e-191	8.657827	cyp2aa8	6.2646437	3.7367861317479975e-10	1.45304242131694e-06	4.393164	tdrd7a	6.703624	2.0331319362304202e-11	1.0192497022710342e-07	10.040017
polr3gla	50.16154	0.0	0.0	0.86142117	cyp27c1	53.871475	0.0	0.0	2.375031	prmt1	39.429035	0.0	0.0	1.3054787	dynll1	22.437574	1.6922621663536424e-111	4.24182434618204e-108	0.40286678	foxa2	31.056318	9.37395745323484e-212	3.916126958713075e-208	3.5101185	lye	29.43033	2.247914911983051e-190	1.5228712211828961e-187	3.8621595	sox17	28.628141	3.000245982524452e-180	1.2534027632992987e-176	5.4650955	krt92	29.778894	7.330987812631441e-195	3.062642341856995e-191	8.933671	pkd1l1	6.252634	4.03587460195066e-10	1.45304242131694e-06	11.435282	gra	6.6660466	2.6278597675324375e-11	1.097832215549468e-07	5.919087
sox3	48.791878	0.0	0.0	1.4794216	hes6	51.75113	0.0	0.0	1.4671019	ulk4	38.957615	0.0	0.0	5.147068	hnrnpaba	22.1627	7.868648666010483e-109	1.6436295621851564e-105	0.3627859	hspa5	30.349592	2.5437491336383804e-202	9.108802254825664e-199	2.1273563	krt4_1	24.941845	2.617930768178871e-137	7.056027165072214e-135	4.628946	cyp2aa8	28.299902	3.465547629458893e-176	1.2409630982859515e-172	3.327841	krt97	29.681795	1.31915668698191e-193	4.723711645126936e-190	9.217219	dnah5	6.2383027	4.4234461671661926e-10	1.45304242131694e-06	9.697072	mid1ip1l	6.637941	3.180953256409724e-11	1.139053918930945e-07	6.008319
mex3b	48.317234	0.0	0.0	1.1786942	cxcl12a	49.66534	0.0	0.0	2.317262	rplp1	38.178596	0.0	0.0	1.0240475	hnrnpa0b_1	21.326313	6.47114252045525e-101	1.0137853651108205e-97	0.76789385	btg2	28.415016	1.3192200825811308e-177	4.133446323747328e-174	1.1682781	pfn1	24.595896	1.3975887061229074e-133	3.468510743334336e-131	1.0424453	gatsl2	28.248062	1.5035111103723164e-175	4.71087618657406e-172	3.5974114	si:ch211-217k17.9	29.583172	2.459981712857934e-192	7.707737701812121e-189	9.319362	syne1b	6.2309046	4.6374927673085134e-10	1.45304242131694e-06	9.366111	h1m	6.3458033	2.2126764090504427e-10	6.932868358657299e-07	4.1314
crabp2b	48.04763	0.0	0.0	1.2726201	aplnrb	49.529823	0.0	0.0	2.9062247	zgc:153409	37.363457	1.5331335895116187e-305	2.134973697483235e-302	1.6182626	h2afx	21.169962	1.8070540696956925e-99	2.66444807711719e-96	1.1517671	cst3	28.291523	4.3940354850908376e-176	1.2237877052142993e-172	1.8286428	cyt1	24.046907	8.993421354261162e-128	1.943354307464744e-125	4.7143908	gata5	27.81213	3.094537822208261e-170	8.618631672385807e-167	3.8318505	krt8_1	29.495794	3.2597439024438686e-191	9.078748962073112e-188	9.041029	zgc:56525	6.080781	1.1959853190366098e-09	3.330952000774629e-06	2.8139846	gtf2a1	6.3141074	2.7172553376442607e-10	7.567858032599004e-07	2.934513
pfkfb4b	47.580997	0.0	0.0	1.0923879	wu:fb97g03	49.20148	0.0	0.0	1.8415143	rpl23a	37.32234	7.12745331803742e-305	9.402986572101367e-302	1.4569128	hmgb2b	20.987907	8.458747167216626e-98	1.1779275360747331e-94	0.5207309	frzb	28.195423	6.654210690955013e-175	1.6679444517947836e-171	4.3912716	krt92	23.551367	1.2155235041705952e-122	2.361884663220166e-120	4.7419276	ahi1	27.245317	1.888295835830098e-163	4.733202342091724e-160	2.4166706	krt4_1	29.477392	5.611888068231661e-191	1.4066758631829482e-187	8.689899	st14a	5.8922133	3.810567129588576e-09	9.551567567026725e-06	2.6716576	nasp_1	6.290892	3.1564646278488193e-10	7.911994236165851e-07	2.8277984
